# BlackArch Toolbox — distro-neutral tool catalogue
#
# Used by the `catalog` backend on every platform that lacks BlackArch's pacman
# groups (Debian, Ubuntu, Kali, Parrot, Fedora, openSUSE, Alpine, macOS, WSL).
# A row is shown in the menu only if its <binary> resolves on PATH, so it never
# matters HOW the tool was installed (apt, dnf, pipx, go, cargo, a raw tarball)
# — if it runs, it appears; if it isn't installed, it's silently skipped.
#
# Format (tab-separated):  <binary>\t<category>\t<one-line description>
# Categories must match a token in data/sections.conf.
#
# This is a curated set of the tools people actually reach for, not an attempt
# to mirror all 4000+ BlackArch packages. To add your own, append a line — see
# docs/ADDING-TOOLS.md. Keep it sorted by category for readability.

# ── recon ────────────────────────────────────────────────────────────────
p0f	sniffer	Passive OS fingerprinting from captured traffic

# ── proxy ────────────────────────────────────────────────────────────────
mitmproxy	proxy	Interactive TLS-capable intercepting HTTP proxy
mitmweb	proxy	Web interface for mitmproxy
proxychains	proxy	Force any TCP connection through a proxy chain
proxychains4	proxy	Force any TCP connection through a proxy chain
socat	proxy	Multipurpose relay for bidirectional data transfer
stunnel	proxy	TLS wrapper for arbitrary network services

# ── wireless ─────────────────────────────────────────────────────────────
aircrack-ng	wireless	Complete suite for auditing wireless networks
airmon-ng	wireless	Enable monitor mode on wireless interfaces
airodump-ng	wireless	Capture raw 802.11 frames and handshakes
aireplay-ng	wireless	Inject and replay wireless frames
wifite	wireless	Automated wireless attack tool
kismet	wireless	Wireless network detector, sniffer, and IDS
reaver	wireless	Brute-force attack against WPS PINs
bully	wireless	Brute-force WPS implementation
hcxdumptool	wireless	Capture packets from WLAN devices for hashcat
hcxpcapngtool	wireless	Convert captures to hashcat/john formats
fluxion	wireless	Wi-Fi social-engineering / evil-twin framework
wifiphisher	wireless	Rogue access-point framework for red-team engagements

# ── bluetooth ────────────────────────────────────────────────────────────
bluetoothctl	bluetooth	Interactive Bluetooth control utility
hcitool	bluetooth	Configure and query Bluetooth devices
bettercap	bluetooth	BLE reconnaissance and attacks
btscanner	bluetooth	Scan for and enumerate Bluetooth devices
spooftooph	bluetooth	Spoof and clone Bluetooth device information

# ── nfc ──────────────────────────────────────────────────────────────────
nfc-list	nfc	List NFC targets in range (libnfc)
mfoc	nfc	MIFARE Classic offline cracker
mfcuk	nfc	MIFARE Classic universal toolkit / darkside attack
proxmark3	nfc	Client for the Proxmark3 RFID research device

# ── radio ────────────────────────────────────────────────────────────────
rtl_433	radio	Decode ISM-band radio transmissions from an RTL-SDR
gqrx	radio	Software-defined-radio receiver with a GUI
gnuradio-companion	radio	Visual flowgraph tool for GNU Radio
multimon-ng	radio	Decode digital radio transmission modes
inspectrum	radio	Analyse captured signals from an SDR
hackrf_transfer	radio	Send and receive samples with a HackRF

# ── reversing ────────────────────────────────────────────────────────────
ghidra	reversing	Software reverse-engineering suite from the NSA
cutter	reversing	Reverse-engineering GUI powered by Rizin
rizin	reversing	Reverse-engineering framework (radare2 fork)
vivisect	reversing	Python binary analysis and disassembly framework
redasm	reversing	Cross-platform interactive disassembler
r2	disassembler	radare2 — command-line reverse-engineering framework
radare2	disassembler	Command-line reverse-engineering framework
objdump	disassembler	Display information from and disassemble object files
gdb	debugger	The GNU debugger
lldb	debugger	The LLVM debugger
edb	debugger	Cross-platform x86/x86-64 debugger
retdec-decompiler	decompiler	Retargetable machine-code decompiler
jadx	decompiler	Decompile Android DEX/APK to Java source
jadx-gui	decompiler	GUI for the jadx Android decompiler

# ── binary ───────────────────────────────────────────────────────────────
pwntools	binary	CTF framework and exploit-development library
ropgadget	binary	Search for ROP gadgets in binaries
ROPgadget	binary	Search for ROP gadgets in binaries
ropper	binary	Display and search gadgets, build ROP chains
one_gadget	binary	Find one-shot RCE gadgets in libc
checksec	binary	Check the security properties of an executable
readelf	binary	Display information about ELF files
nm	binary	List symbols from object files
strings	binary	Print the printable strings in a file
patchelf	binary	Modify the dynamic linker and RPATH of ELF binaries
upx	packer	Compress and pack executables

# ── forensic ─────────────────────────────────────────────────────────────
volatility	forensic	Advanced memory-forensics framework
volatility3	forensic	Next-generation memory-forensics framework (vol)
autopsy	forensic	Digital-forensics platform / GUI for The Sleuth Kit
sleuthkit	forensic	Command-line digital-investigation tools
binwalk	forensic	Firmware analysis and extraction tool
foremost	forensic	Recover files based on headers and footers (carving)
scalpel	forensic	Fast file carver
bulk_extractor	forensic	Scan disk images for emails, URLs, and artifacts
testdisk	forensic	Recover lost partitions and repair filesystems
photorec	forensic	File-recovery / carving companion to TestDisk
exiftool	forensic	Read and write meta information in files
steghide	anti-forensic	Hide data in image and audio files (steganography)
stegseek	anti-forensic	Fast steghide passphrase cracker
zsteg	anti-forensic	Detect steganography in PNG and BMP files
outguess	anti-forensic	Universal steganographic tool

# ── defensive ────────────────────────────────────────────────────────────
suricata	defensive	High-performance network IDS/IPS and monitoring engine
zeek	defensive	Powerful network-analysis and security-monitoring framework
snort	ids	Network intrusion detection and prevention system
fail2ban-client	defensive	Ban hosts that show malicious signs from logs
ossec-control	defensive	Host-based intrusion detection system control
wazuh-control	defensive	Security monitoring and XDR platform control
rkhunter	defensive	Rootkit, backdoor, and local-exploit scanner
chkrootkit	defensive	Locally check for signs of a rootkit
clamscan	defensive	ClamAV command-line virus scanner

# ── social ───────────────────────────────────────────────────────────────
sherlock	social	Hunt down social-media accounts by username
maigret	social	Collect a dossier on a person by username
holehe	social	Check if an email is used on different sites
socialscan	social	Check email and username availability across sites
osintgram	social	Interactive OSINT tool for Instagram
twint	social	Advanced Twitter scraping / OSINT tool
h8mail	social	Email OSINT and breach-hunting tool
maltego	social	Interactive data-mining and link-analysis GUI
spiderfoot	social	Automated OSINT collection tool

# ── mobile ───────────────────────────────────────────────────────────────
apktool	mobile	Reverse-engineer Android APK files
jadx	mobile	Decompile Android DEX/APK to Java source
mobsf	mobile	Mobile Security Framework — automated app analysis
frida	mobile	Dynamic instrumentation toolkit for app research
objection	mobile	Runtime mobile exploration powered by Frida
adb	mobile	Android Debug Bridge — talk to Android devices
scrcpy	mobile	Display and control Android devices over USB/TCP
drozer	mobile	Android security assessment framework

# ── networking ───────────────────────────────────────────────────────────
netcat	networking	TCP/IP swiss-army knife (nc)
nc	networking	TCP/IP swiss-army knife
ncat	networking	Nmap's improved reimplementation of netcat
socat	networking	Multipurpose relay for bidirectional data transfer
hping3	networking	Command-line packet crafter and analyzer
scapy	networking	Interactive packet-manipulation program and library
netdiscover	networking	Active/passive ARP reconnaissance tool
arp-scan	networking	Discover and fingerprint hosts on the local network
fping	networking	Send ICMP echo probes to many hosts in parallel
mtr	networking	Combined traceroute and ping network diagnostic
iperf3	networking	Measure maximum achievable network bandwidth
tcpreplay	networking	Replay captured network traffic

# ── database ─────────────────────────────────────────────────────────────
sqlmap	database	Automatic SQL injection and database takeover tool
mongoaudit	database	Audit MongoDB deployments for misconfigurations
nosqlmap	database	Automated NoSQL database enumeration and exploitation
mysql	database	MySQL command-line client
psql	database	PostgreSQL interactive terminal
redis-cli	database	Redis command-line interface

# ── code-audit ───────────────────────────────────────────────────────────
semgrep	code-audit	Fast, static analysis for finding bugs and vulnerabilities
bandit	code-audit	Find common security issues in Python code
gitleaks	code-audit	Detect hardcoded secrets and keys in git repos
trufflehog	code-audit	Find leaked credentials across git history and more
brakeman	code-audit	Static analysis security scanner for Ruby on Rails
graudit	code-audit	Grep-based source-code auditing tool
retire	code-audit	Scanner for known-vulnerable JavaScript libraries
safety	code-audit	Check Python dependencies for known vulnerabilities

# ── automation ───────────────────────────────────────────────────────────
sn0int	automation	Semi-automatic OSINT framework and package manager
osmedeus	automation	Fully automated offensive-security reconnaissance framework
reconftw	automation	Automated recon that chains dozens of tools
sqlmap	automation	Automatic SQL injection and database takeover tool
autorecon	automation	Multi-threaded network reconnaissance automation

# ── honeypot ─────────────────────────────────────────────────────────────
cowrie	honeypot	Medium-interaction SSH and Telnet honeypot
honeyd	honeypot	Create virtual hosts on a network as decoys
opencanary	honeypot	Multi-protocol honeypot for detecting intrusions
pentbox	honeypot	Security suite that includes a simple honeypot

# ── dos ──────────────────────────────────────────────────────────────────
slowloris	dos	Low-bandwidth HTTP denial-of-service tool
hping3	dos	Packet crafter usable for flood/DoS testing
t50	dos	Fast multi-protocol packet injector / stress tester
goldeneye	dos	HTTP/S layer-7 DoS testing tool

# ── hardware ─────────────────────────────────────────────────────────────
flashrom	hardware	Read, write, and erase flash chips (BIOS/firmware)
openocd	hardware	On-chip debugging, in-system programming via JTAG
minicom	hardware	Serial-console / modem communication program
sigrok-cli	hardware	Logic-analyzer and signal-acquisition CLI
esptool	firmware	Read, write, and flash Espressif ESP8266/ESP32 chips
binwalk	firmware	Firmware analysis and extraction tool
firmware-mod-kit	firmware	Extract and rebuild firmware images

# ── misc ─────────────────────────────────────────────────────────────────
cewl	misc	Generate custom wordlists by spidering a site
crunch	misc	Generate wordlists from a character set and pattern
seclists	misc	Collection of multiple types of security wordlists
exploitdb	misc	Local copy of the Exploit Database
tmux	misc	Terminal multiplexer for long-running engagements
jq	misc	Command-line JSON processor
